Module                  Size  Used by
bluetooth            1032192  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
spi_nor               163840  0
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
intel_rapl_msr         20480  0
processor_thermal_rapl    16384  1 processor_thermal_device
videodev              352256  2 videobuf2_v4l2,uvcvideo
crypto_simd            16384  1 aesni_intel
drm_display_helper    237568  2 xe,i915
mtd                    98304  4 spi_nor,cmdlinepart
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
libarc4                12288  1 mac80211
mei_hdcp               28672  0
mei_pxp                16384  0
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
iwlwifi               602112  1 iwlmvm
rapl                   20480  0
cec                    94208  3 drm_display_helper,xe,i915
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
processor_thermal_wt_req    12288  1 processor_thermal_device
spi_intel_pci          12288  0
ecdh_generic           16384  2 bluetooth
i2c_i801               36864  0
intel_cstate           24576  0
snd                   143360  26 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
processor_thermal_power_floor    12288  1 processor_thermal_device
wmi_bmof               12288  0
lenovo_wmi_hotkey_utilities    12288  0
mei_me                 53248  2
rc_core                73728  1 cec
ecc                    45056  1 ecdh_generic
spi_intel              32768  1 spi_intel_pci
cfg80211             1355776  3 iwlmvm,iwlwifi,mac80211
soundcore              16384  2 snd_ctl_led,snd
i2c_smbus              16384  1 i2c_i801
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
ideapad_laptop         61440  0
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
i2c_algo_bit           16384  2 xe,i915
intel_soc_dts_iosf     20480  1 processor_thermal_device_pci_legacy
igen6_edac             24576  0
sparse_keymap          12288  1 ideapad_laptop
int3403_thermal        16384  0
intel_pmc_core        118784  0
platform_profile       12288  1 ideapad_laptop
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
int3400_thermal        24576  0
input_leds             12288  0
joydev                 32768  0
pmt_class              12288  1 pmt_telemetry
acpi_thermal_rel       20480  1 int3400_thermal
acpi_pad              184320  0
acpi_tad               20480  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
nvme                   61440  3
spi_pxa2xx_platform    36864  0
hid_multitouch         36864  0
nvme_core             212992  4 nvme
dw_dmac                12288  0
hid_generic            12288  0
8250_dw                20480  0
nvme_auth              28672  1 nvme_core
dw_dmac_core           36864  1 dw_dmac
ucsi_acpi              12288  0
intel_lpss_pci         28672  2
typec_ucsi             61440  1 ucsi_acpi
ahci                   49152  0
i2c_hid_acpi           12288  0
intel_lpss             12288  1 intel_lpss_pci
xhci_pci               24576  0
i2c_hid                40960  1 i2c_hid_acpi
crc32_pclmul           12288  0
video                  77824  3 ideapad_laptop,xe,i915
libahci                53248  1 ahci
vmd                    24576  0
idma64                 20480  0
xhci_pci_renesas       20480  1 xhci_pci
typec                 106496  1 typec_ucsi
hid                   180224  3 i2c_hid,hid_multitouch,hid_generic
wmi                    28672  4 video,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
pinctrl_tigerlake      28672  1
