Module                  Size  Used by
snd_hda_codec         204800  8 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_soc_hdac_hda,snd_sof_intel_hda,snd_soc_skl_hda_dsp
drm_gpuvm              45056  1 xe
kvm_intel             487424  0
drm_exec               12288  2 drm_gpuvm,xe
gpu_sched              61440  1 xe
snd_hda_core          139264  11 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_soc_hdac_hda,snd_sof_intel_hda
drm_suballoc_helper    16384  1 xe
drm_ttm_helper         12288  1 xe
snd_hwdep              20480  1 snd_hda_codec
kvm                  1409024  1 kvm_intel
snd_pcm               192512  12 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
iwlmvm                868352  0
irqbypass              12288  1 kvm
btusb                  81920  0
crct10dif_pclmul       12288  1
btrtl                  32768  1 btusb
snd_seq_midi           24576  0
uvcvideo              147456  0
polyval_clmulni        12288  0
snd_seq_midi_event     16384  1 snd_seq_midi
polyval_generic        12288  1 polyval_clmulni
btintel                57344  1 btusb
ghash_clmulni_intel    16384  0
videobuf2_vmalloc      20480  1 uvcvideo
sha256_ssse3           32768  0
btbcm                  24576  1 btusb
uvc                    12288  1 uvcvideo
btmtk                  12288  1 btusb
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_rawmidi            57344  1 snd_seq_midi
sha1_ssse3             32768  0
mei_pxp                16384  0
aesni_intel           356352  4
mac80211             1744896  1 iwlmvm
videobuf2_v4l2         36864  1 uvcvideo
bluetooth            1032192  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
crypto_simd            16384  1 aesni_intel
cmdlinepart            12288  0
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
videodev              352256  2 videobuf2_v4l2,uvcvideo
spi_nor               163840  0
processor_thermal_device_pci_legacy    12288  0
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
rapl                   20480  0
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
mtd                    98304  4 spi_nor,cmdlinepart
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
mei_hdcp               28672  0
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
processor_thermal_wt_hint    16384  1 processor_thermal_device
intel_rapl_msr         20480  0
i915                 4288512  27
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
libarc4                12288  1 mac80211
intel_cstate           24576  0
lenovo_wmi_hotkey_utilities    12288  0
wmi_bmof               12288  0
i2c_i801               36864  0
processor_thermal_rfim    32768  1 processor_thermal_device
ecdh_generic           16384  2 bluetooth
spi_intel_pci          12288  0
mei_me                 53248  2
i2c_smbus              16384  1 i2c_i801
ecc                    45056  1 ecdh_generic
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
spi_intel              32768  1 spi_intel_pci
processor_thermal_rapl    16384  1 processor_thermal_device
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
iwlwifi               606208  1 iwlmvm
drm_buddy              20480  2 xe,i915
ttm                   110592  3 drm_ttm_helper,xe,i915
snd                   143360  26 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_wt_req    12288  1 processor_thermal_device
ideapad_laptop         49152  0
processor_thermal_power_floor    12288  1 processor_thermal_device
drm_display_helper    237568  2 xe,i915
soundcore              16384  2 snd_ctl_led,snd
sparse_keymap          12288  1 ideapad_laptop
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
cfg80211             1355776  3 iwlmvm,iwlwifi,mac80211
cec                    94208  3 drm_display_helper,xe,i915
platform_profile       12288  1 ideapad_laptop
int3403_thermal        16384  0
rc_core                73728  1 cec
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_soc_dts_iosf     20480  1 processor_thermal_device_pci_legacy
i2c_algo_bit           16384  2 xe,i915
igen6_edac             24576  0
intel_pmc_core        118784  0
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
int3400_thermal        24576  0
pmt_class              12288  1 pmt_telemetry
acpi_tad               20480  0
acpi_thermal_rel       20480  1 int3400_thermal
acpi_pad              184320  0
joydev                 32768  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
nvme                   61440  3
hid_multitouch         36864  0
nvme_core             212992  4 nvme
hid_generic            12288  0
spi_pxa2xx_platform    36864  0
dw_dmac                12288  0
nvme_auth              28672  1 nvme_core
dw_dmac_core           36864  1 dw_dmac
8250_dw                20480  0
intel_lpss_pci         28672  2
intel_lpss             12288  1 intel_lpss_pci
ahci                   49152  0
crc32_pclmul           12288  0
ucsi_acpi              12288  0
idma64                 20480  0
xhci_pci               24576  0
vmd                    24576  0
libahci                53248  1 ahci
i2c_hid_acpi           12288  0
typec_ucsi             61440  1 ucsi_acpi
i2c_hid                40960  1 i2c_hid_acpi
typec                 106496  1 typec_ucsi
xhci_pci_renesas       20480  1 xhci_pci
video                  77824  3 ideapad_laptop,xe,i915
hid                   180224  3 i2c_hid,hid_multitouch,hid_generic
wmi                    28672  4 video,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
pinctrl_tigerlake      28672  1
